Descrption,Test_ID,Functionality_Test_Case,User_Interface_Test_Case,Performance_Test_Case,Integration_Test_Case,Usability_Test_Case,Database_Test_Case,Security_Test_Case,User_Acceptance_Test_Case
 All mandatory fields should be validated and indicated by an asterisk (*) symbol.,test01,1,0,0,0,0,0,0,0
Validation error messages should be displayed properly in the correct position.,test02,1,0,0,0,0,0,0,0
"All error messages should be displayed in the same CSS style (For Example, using red color)",test03,1,0,0,0,0,0,0,0
"General confirmation messages should be displayed using CSS style other than error messages style (For Example, using green color)",test04,1,0,0,0,0,0,0,0
Tooltips text should be meaningful.,test05,1,0,0,0,0,0,0,0
Drop-down fields should have the first entry as blank or text like ‘Select’.,test06,1,0,0,0,0,0,0,0
Delete functionality’ for any record on a page should ask for a confirmation.,test07,1,0,0,0,0,0,0,0
Select/deselect all records option should be provided if page supports record add/delete/update functionality,test08,1,0,0,0,0,0,0,0
Amount values should be displayed with correct currency symbols.,test09,1,0,0,0,0,0,0,0
Default page sorting should be provided.,test10,1,0,0,0,0,0,0,0
Reset button functionality should set default values for all fields.,test11,1,0,0,0,0,0,0,0
All numeric values should be formatted properly.,test12,1,0,0,0,0,0,0,0
Input values greater than the specified max limit should not be accepted or stored in the database.,test13,1,0,0,0,0,0,0,0
Check all input fields for special characters.,test14,1,0,0,0,0,0,0,0
field accepting user’s first name should be labeled properly as ‘First Name’.,test15,1,0,0,0,0,0,0,0
Check page sorting functionality after add/edit/delete operations on any record.,test16,1,0,0,0,0,0,0,0
Check application behavior after the operation timeout.,test17,1,0,0,0,0,0,0,0
Check cookies used in an application.,test18,1,0,0,0,0,0,0,0
Check if downloadable files are pointing to the correct file paths.,test19,1,0,0,0,0,0,0,0
All resource keys should be configurable in config files or database instead of hard coding.,test20,1,0,0,0,0,0,0,0
Standard conventions should be followed throughout for naming resource keys.,test21,1,0,0,0,0,0,0,0
Validate markup for all web pages (validate HTML and CSS for syntax errors) to make sure it is compliant with the standards.,test22,1,0,0,0,0,0,0,0
Application crash or unavailable pages should be redirected to the error page.,test23,1,0,0,0,0,0,0,0
Check the text on all pages for spelling and grammatical errors.,test24,1,0,0,0,0,0,0,0
A proper validation message should appear.,test25,1,0,0,0,0,0,0,0
Check for negative numbers if allowed for numeric fields.,test26,1,0,0,0,0,0,0,0
Check the number of fields with decimal number values.,test27,1,0,0,0,0,0,0,0
Check the functionality of buttons available on all pages.,test28,1,0,0,0,0,0,0,0
The user should not be able to submit a page twice by pressing the submit button in quick succession.,test29,1,0,0,0,0,0,0,0
Divide by zero errors should be handled for any calculations.,test30,1,0,0,0,0,0,0,0
Input data with the first and last position blank should be handled correctly.,test31,1,0,0,0,0,0,0,0
"All fields on a page (For Example, text box, radio options, drop-down lists) should be aligned properly.",test32,0,1,0,0,1,0,0,0
Numeric values should be justified correctly unless specified otherwise.,test33,0,1,0,0,1,0,0,0
"Enough space should be provided between field labels, columns, rows, error messages, etc.",test34,0,1,0,0,1,0,0,0
The scrollbar should be enabled only when necessary.,test35,0,1,0,0,1,0,0,0
"Font size, style, and color for headline, description text, labels, infield data, and grid info should be standard as specified in SRS.",test36,0,1,0,0,1,0,0,0
The description text box should be multi-lined.,test37,0,1,0,0,1,0,0,0
Disabled fields should be greyed out and users should not be able to set focus on these fields.,test38,0,1,0,0,1,0,0,0
"Upon click of an input text field, the mouse arrow pointer should get changed to the cursor.",test39,0,1,0,0,1,0,0,0
The user should not be able to type in drop-down select lists.,test40,0,1,0,0,1,0,0,0
The user should be able to submit the form again by correcting the errors.,test41,0,1,0,0,1,0,0,0
Check if proper field labels are used in error messages.,test42,0,1,0,0,1,0,0,0
Drop-down field values should be displayed in defined sort order.,test43,0,1,0,0,1,0,0,0
Tab and Shift+Tab order should work properly.,test44,0,1,0,0,1,0,0,0
Default radio options should be pre-selected on the page load.,test45,0,1,0,0,1,0,0,0
Field-specific and page-level help messages should be available.,test46,0,1,0,0,1,0,0,0
Check if the correct fields are highlighted in case of errors.,test47,0,1,0,0,1,0,0,0
Check if the drop-down list options are readable and not truncated due to field size limits.,test48,0,1,0,0,1,0,0,0
All buttons on a page should be accessible by keyboard shortcuts and the user should be able to perform all operations using a keyboard.,test49,0,1,0,0,1,0,0,0
Check all pages for broken images.,test50,0,1,0,0,1,0,0,0
Check all pages for broken links.,test51,0,1,0,0,1,0,0,0
All pages should have a title.,test52,0,1,0,0,1,0,0,0
Confirmation messages should be displayed before performing any update or delete operation.,test53,0,1,0,0,1,0,0,0
Hourglass should be displayed when the application is busy.,test54,0,1,0,0,1,0,0,0
Page text should be left-justified.,test55,0,1,0,0,1,0,0,0
The user should be able to select only one radio option and any combination for checkboxes.,test56,0,1,0,0,1,0,0,0
The user should be able to filter results using all parameters on the page.,test57,1,0,0,0,0,0,0,0
Refine search functionality should load the search page with all user-selected search parameters.,test58,1,0,0,0,0,0,0,0
" When there are at least one filter criteria required to perform the search operation, make sure the proper error message is displayed when the user submits the page without selecting any filter criteria.",test59,1,0,0,0,0,0,0,0
"When at least one filter criteria selection is not compulsory, the user should be able to submit the page and the default search criteria should get used to query results.",test60,1,0,0,0,0,0,0,0
Proper validation messages should be displayed for all invalid values for filter criteria.,test61,1,0,0,0,0,0,0,0
Page loading symbol should be displayed when it’s taking more than default time to load the result page.,test62,1,0,0,0,0,0,0,0
Check if all the search parameters are used to fetch data shown on the result grid.,test63,1,0,0,0,0,0,0,0
The total number of results should be displayed in the result grid.,test64,1,0,0,0,0,0,0,0
Search criteria used for searching should be displayed in the result grid.,test65,1,0,0,0,0,0,0,0
Result grid values should be sorted by default column.,test66,1,0,0,0,0,0,0,0
Sorted columns should be displayed with a sort icon.,test67,1,0,0,0,0,0,0,0
Result grids should include all the specified columns with correct values.,test68,1,0,0,0,0,0,0,0
Ascending and descending sorting functionality should work for columns supported by data sorting.,test69,1,0,0,0,0,0,0,0
Result grids should be displayed with proper column and row spacing.,test70,1,0,0,0,0,0,0,0
Pagination should be enabled when there are more results than the default result count per page.,test71,1,0,0,0,0,0,0,0
"Check for Next, Previous, First and Last page pagination functionality.",test72,1,0,0,0,0,0,0,0
Duplicate records should not be displayed in the result grid.,test73,1,0,0,0,0,0,0,0
Check if all the columns are visible and a horizontal scrollbar is enabled if necessary.,test74,1,0,0,0,0,0,0,0
Check the data for dynamic columns (columns whose values are calculated dynamically based on the other column values).,test75,1,0,0,0,0,0,0,0
For result grids showing reports check ‘Totals’ row and verify the total for every column.,test76,1,0,0,0,0,0,0,0
For result grids showing reports check ‘Totals’ row data when pagination is enabled and the user gets navigated to the next page.,test77,1,0,0,0,0,0,0,0
Check if proper symbols are used for displaying column values e.g. % symbol should be displayed for percentage calculation.,test78,1,0,0,0,0,0,0,0
Check result grid data to know if the date range is enabled.,test79,1,0,0,0,0,0,0,0
Check if the default window size is correct.,test80,1,0,0,0,0,0,0,0
Check if the child window size is correct.,test81,1,0,0,0,0,0,0,0
"Check if there is any field on the page with default focus (in general, the focus should be set on the first input field of the screen).",test82,1,0,0,0,0,0,0,0
Check if child windows are getting closed on closing parent/opener window.,test83,1,0,0,0,0,0,0,0
"If the child window is opened, the user should not be able to use or update any field in the background or parent window",test84,1,0,0,0,0,0,0,0
"Check window minimize, maximize, and close functionality.",test85,1,0,0,0,0,0,0,0
Check if the window is re-sizable.,test86,1,0,0,0,0,0,0,0
Check scroll bar functionality for parent and child windows.,test87,1,0,0,0,0,0,0,0
Check cancel button functionality for the child window.,test88,1,0,0,0,0,0,0,0
Check if correct data is getting saved in the database upon a successful page submit.,test89,0,0,0,0,0,1,0,0
Check values for columns that are not accepting null values.,test90,0,0,0,0,0,1,0,0
Data should be stored in single or multiple tables based on the design.,test91,0,0,0,0,0,1,0,0
Index names should be given as per the standards e.g. IND_<Tablename>_<ColumnName>,test92,0,0,0,0,0,1,0,0
Tables should have a primary key column.,test93,0,0,0,0,0,1,0,0
"Table columns should have description information available (except for audit columns like created date, created by, etc.)",test94,0,0,0,0,0,1,0,0
For every database add/update operation log should be added.,test95,0,0,0,0,0,1,0,0
Required table indexes should be created.,test96,0,0,0,0,0,1,0,0
Check if data is committed to the database only when the operation is successfully completed.,test97,0,0,0,0,0,1,0,0
Data should be rolled back in case of failed transactions.,test98,0,0,0,0,0,1,0,0
"Database name should be given as per the application type i.e. test, UAT, sandbox, live (though this is not a standard it is helpful for database maintenance)",test99,0,0,0,0,0,1,0,0
Database logical names should be given according to the database name (again this is not standard but helpful for DB maintenance).,test100,0,0,0,0,0,1,0,0
Stored procedures should not be named with a prefix “sp_”,test101,0,0,0,0,0,1,0,0
"Check if values for table audit columns (like created date, created by, updated, updated by, is deleted, deleted data, deleted by, etc.) are populated properly.",test102,0,0,0,0,0,1,0,0
Check if input data is not truncated while saving. Field length shown to the user on the page and in database schema should be the same.,test103,0,0,0,0,0,1,0,0
"Check numeric fields with minimum, maximum, and float values.",test104,0,0,0,0,0,1,0,0
Check numeric fields with negative values (for both acceptance and non-acceptance).,test105,0,0,0,0,0,1,0,0
Check if the radio button and drop-down list options are saved correctly in the database.,test106,0,0,0,0,0,1,0,0
Check if the database fields are designed with the correct data type and data length.,test107,0,0,0,0,0,1,0,0
are implemented correctly.,test108,0,0,0,0,0,1,0,0
Test stored procedures and triggers with sample input data.,test109,0,0,0,0,0,1,0,0
Input field leading and trailing spaces should be truncated before committing data to the database.,test110,0,0,0,0,0,1,0,0
Null values should not be allowed for the Primary key column.,test111,0,0,0,0,0,1,0,0
Check for uploaded image path.,test112,1,0,0,0,0,0,0,0
Check image upload and change functionality.,test113,1,0,0,0,0,0,0,0
"Check image upload functionality with image files of different extensions (For Example, JPEG, PNG, BMP, etc.)",test114,1,0,0,0,0,0,0,0
Check image upload functionality with images having space or any other allowed special character in the file name.,test115,1,0,0,0,0,0,0,0
Check duplicate name image upload.,test116,1,0,0,0,0,0,0,0
The Proper error message should be displayed.,test117,1,0,0,0,0,0,0,0
A proper error message should be displayed.,test118,1,0,0,0,0,0,0,0
Check if images of specified height and width (if defined) are accepted otherwise rejected.,test119,1,0,0,0,0,0,0,0
The image upload progress bar should appear for large size images.,test120,1,0,0,0,0,0,0,0
Check if the cancel button functionality is working in between the upload process.,test121,1,0,0,0,0,0,0,0
Check if file selection dialog shows only supported files listed.,test122,1,0,0,0,0,0,0,0
Check multiple images upload functionality.,test123,1,0,0,0,0,0,0,0
Image quality should not be changed after upload.,test124,1,0,0,0,0,0,0,0
Check if the user is able to use/view the uploaded images.,test125,1,0,0,0,0,0,0,0
The email template should use standard CSS for all emails.,test126,1,0,0,0,0,0,0,0
Email addresses should be validated before sending emails.,test127,1,0,0,0,0,0,0,0
Special characters in the email body template should be handled properly.,test128,1,0,0,0,0,0,0,0
"Language-specific characters (For Example, Russian, Chinese or German language characters) should be handled properly in the email body template.",test129,1,0,0,0,0,0,0,0
Email subject should not be blank.,test130,1,0,0,0,0,0,0,0
Placeholder fields used in the email template should be replaced with actual values e.g. {Firstname} {Lastname} should be replaced with an individual’s first and last name properly for all the recipients.,test131,1,0,0,0,0,0,0,0
If reports with dynamic values are included in the email body and report data should be calculated correctly.,test132,1,0,0,0,0,0,0,0
Email sender name should not be blank.,test133,1,0,0,0,0,0,0,0
"Emails should be checked in different email clients like Outlook, Gmail, Hotmail, Yahoo! mail, etc.",test134,1,0,0,0,0,0,0,0
"Check to send email functionality using TO, CC and BCC fields.",test135,1,0,0,0,0,0,0,0
Check plain text emails.,test136,1,0,0,0,0,0,0,0
Check HTML format emails.,test137,1,0,0,0,0,0,0,0
"Check email header and footer for company logo, privacy policy, and other links.",test138,1,0,0,0,0,0,0,0
Check emails with attachments.,test139,1,0,0,0,0,0,0,0
"Check to send email functionality to single, multiple or distribution list recipients.",test140,1,0,0,0,0,0,0,0
Check if a reply to the email address is correct.,test141,1,0,0,0,0,0,0,0
Check to send the high volume of emails.,test142,1,0,0,0,0,0,0,0
 The file should get exported in the proper file extension.,test143,1,0,0,0,0,0,0,0
"The file name for the exported Excel file should be as per the standards, For Example, if the file name is using the timestamp, it should get replaced properly with an actual timestamp at the time of exporting the file.",test144,1,0,0,0,0,0,0,0
Check for date format if exported Excel file contains the date columns.,test145,1,0,0,0,0,0,0,0
Check number formatting for numeric or currency values. Formatting should be the same as shown on the page.,test146,1,0,0,0,0,0,0,0
The exported file should have columns with proper column names.,test147,1,0,0,0,0,0,0,0
Default page sorting should be carried in the exported file as well.,test148,1,0,0,0,0,0,0,0
"Excel file data should be formatted properly with header and footer text, date, page numbers, etc. values for all pages.",test149,1,0,0,0,0,0,0,0
Check if the data displayed on a page and exported Excel file is the same.,test150,1,0,0,0,0,0,0,0
Check export functionality when pagination is enabled.,test151,1,0,0,0,0,0,0,0
"Check if the export button is showing proper icon according to the exported file type, For Example, Excel file icon for xls files",test152,1,0,0,0,0,0,0,0
Check export functionality for files with very large size.,test153,1,0,0,0,0,0,0,0
Check export functionality for pages containing special characters. Check if these special characters are exported properly in the Excel file.,test154,1,0,0,0,0,0,0,0
Check if the page load time is within the acceptable range.,test155,0,0,1,0,0,0,0,0
