Description,Test_ID,Functionality_Test_Case,User_Interface_Test_Case,Performance_Test_Case,Integration_Test_Case,Usability_Test_Case,Database_Test_Case,Security_Test_Case,User_Acceptance_Test_Case
All mandatory fields should be validated and indicated by an asterisk (*) symbol.,1,1,0,0,0,1,1,0,1
Validation error messages should be displayed properly in the correct position.,2,0,0,1,0,1,1,1,0
"All error messages should be displayed in the same CSS style (For Example, using red color)",3,1,0,1,1,0,0,0,1
"General confirmation messages should be displayed using CSS style other than error messages style (For Example, using green color)",4,1,1,1,1,1,0,0,0
Tooltips text should be meaningful.,5,1,1,1,0,0,1,1,0
Drop-down fields should have the first entry as blank or text like ??Select??.,6,1,0,0,1,1,1,0,1
Delete functionality?? for any record on a page should ask for a confirmation.,7,0,1,0,1,1,1,1,1
Select/deselect all records option should be provided if page supports record add/delete/update functionality,8,1,1,1,1,0,0,1,0
Amount values should be displayed with correct currency symbols.,9,0,1,0,0,1,1,0,0
Default page sorting should be provided.,10,1,1,0,1,1,0,0,1
Reset button functionality should set default values for all fields.,11,1,0,0,0,1,0,0,0
All numeric values should be formatted properly.,12,1,1,0,1,1,0,0,1
Input fields should be checked for the max field value. Input values greater than the specified max limit should not be accepted or stored in the database.,13,1,1,1,0,1,1,1,0
Check all input fields for special characters.,14,0,0,0,0,1,0,1,0
Field labels should be standard e.g. field accepting user??s first name should be labeled properly as ??First Name??.,15,1,0,0,0,0,0,0,1
Check page sorting functionality after add/edit/delete operations on any record.,16,1,1,1,0,0,1,1,1
Check for timeout functionality. Timeout values should be configurable. Check application behavior after the operation timeout.,17,0,1,1,1,1,0,0,1
Check cookies used in an application.,18,0,0,1,1,1,0,0,1
Check if downloadable files are pointing to the correct file paths.,19,1,0,1,1,0,0,0,0
All resource keys should be configurable in config files or database instead of hard coding.,20,1,0,0,0,0,1,1,1
Standard conventions should be followed throughout for naming resource keys.,21,1,0,0,0,1,1,1,0
Validate markup for all web pages (validate HTML and CSS for syntax errors) to make sure it is compliant with the standards.,22,1,1,1,0,1,0,0,1
Application crash or unavailable pages should be redirected to the error page.,23,1,1,1,0,1,1,0,0
Check the text on all pages for spelling and grammatical errors.,24,0,0,1,1,1,0,0,1
Check numeric input fields with character input values. A proper validation message should appear.,25,1,0,1,0,1,0,1,1
Check for negative numbers if allowed for numeric fields.,26,1,0,1,1,1,1,1,0
Check the number of fields with decimal number values.,27,0,0,1,0,1,0,0,1
Check the functionality of buttons available on all pages.,28,1,1,0,0,1,1,0,0
The user should not be able to submit a page twice by pressing the submit button in quick succession.,29,0,0,0,1,1,0,0,0
Divide by zero errors should be handled for any calculations.,30,0,1,1,1,1,0,0,1
Input data with the first and last position blank should be handled correctly.,31,0,0,1,1,1,1,1,0
"All fields on a page (For Example, text box, radio options, drop-down lists) should be aligned properly.",32,0,1,0,1,0,0,1,1
Numeric values should be justified correctly unless specified otherwise.,33,1,1,0,1,1,0,1,0
"Enough space should be provided between field labels, columns, rows, error messages, etc.",34,0,1,0,1,1,0,0,0
The scrollbar should be enabled only when necessary.,35,1,0,0,1,1,1,0,1
"Font size, style, and color for headline, description text, labels, infield data, and grid info should be standard as specified in SRS.",36,0,0,0,1,1,1,1,0
The description text box should be multi-lined.,37,0,0,0,1,1,1,1,1
Disabled fields should be greyed out and users should not be able to set focus on these fields.,38,1,1,0,1,1,0,1,1
"Upon click of an input text field, the mouse arrow pointer should get changed to the cursor.",39,0,1,1,0,0,0,1,1
The user should not be able to type in drop-down select lists.,40,0,1,1,1,0,0,0,0
Information filled by users should remain intact when there is an error message on page submit. The user should be able to submit the form again by correcting the errors.,41,0,0,0,0,1,1,0,0
Check if proper field labels are used in error messages.,42,0,1,0,0,1,0,1,1
Drop-down field values should be displayed in defined sort order.,43,1,1,1,0,0,1,1,1
Tab and Shift+Tab order should work properly.,44,1,0,0,0,1,1,0,0
Default radio options should be pre-selected on the page load.,45,1,0,1,0,1,1,1,0
Field-specific and page-level help messages should be available.,46,1,1,0,1,1,0,1,1
Check if the correct fields are highlighted in case of errors.,47,0,1,0,0,0,0,0,1
Check if the drop-down list options are readable and not truncated due to field size limits.,48,0,1,0,0,1,1,0,1
All buttons on a page should be accessible by keyboard shortcuts and the user should be able to perform all operations using a keyboard.,49,0,0,0,1,1,1,0,0
Check all pages for broken images.,50,0,1,1,1,0,0,0,0
Check all pages for broken links.,51,1,0,1,1,1,1,1,0
All pages should have a title.,52,0,0,0,0,0,0,0,0
Confirmation messages should be displayed before performing any update or delete operation.,53,1,1,0,1,0,0,0,1
Hourglass should be displayed when the application is busy.,54,0,1,1,1,0,1,0,0
Page text should be left-justified.,55,1,1,1,0,1,1,1,0
The user should be able to select only one radio option and any combination for checkboxes.,56,0,0,1,1,0,0,1,0
The user should be able to filter results using all parameters on the page.,57,1,0,0,1,1,1,0,1
Refine search functionality should load the search page with all user-selected search parameters.,58,0,1,0,0,0,1,0,0
"When there are at least one filter criteria required to perform the search operation, make sure the proper error message is displayed when the user submits the page without selecting any filter criteria.",59,1,1,1,0,0,0,1,0
"When at least one filter criteria selection is not compulsory, the user should be able to submit the page and the default search criteria should get used to query results.",60,0,0,0,0,0,0,1,1
