Description,Test_ID,anger,boredom,enthusiasm,fun,happiness,hate,love,neutral,relief,sadness,surprise,worry
ive been really angry with r and i feel like an idiot for trusting him in the first place,3,1,0,0,0,0,0,0,0,0,0,0,0
i looked at what had happened to us in two generations and looked at what hadn t happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it,40,1,0,0,0,0,0,0,0,0,0,0,0
i feel morally outraged and furious more often than i d like,51,1,0,0,0,0,0,0,0,0,0,0,0
i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,87,1,0,0,0,0,0,0,0,0,0,0,0
i p i could sit here and beat myself up over it all but im feeling far to rebellious for that today basically im feeling angry at the world and at myself all at the same time,110,1,0,0,0,0,0,0,0,0,0,0,0
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,128,1,0,0,0,0,0,0,0,0,0,0,0
i feel so enraged that i want to punch him but i don t because he s only years old,166,1,0,0,0,0,0,0,0,0,0,0,0
i find it hard to feel jolly when throngs of people around me are so lost in the fervor of getting stuff that they cant see their heart for the green in their wallet encouraged by the constant barrage and pressure from every angle to shop here and buy more,221,1,0,0,0,0,0,0,0,0,0,0,0
i was feeling angry at myself for feeling self conscious about my shorts or for wishing that i wasnt alone,249,1,0,0,0,0,0,0,0,0,0,0,0
i feel almost angry that i have been fed like a lab rat for so many years,368,1,0,0,0,0,0,0,0,0,0,0,0
i hurt and feel suspicious and definitely get angry,469,1,0,0,0,0,0,0,0,0,0,0,0
i feel outraged about this type of thing,591,1,0,0,0,0,0,0,0,0,0,0,0
i need to move past the grief and maybe even feel angry,730,1,0,0,0,0,0,0,0,0,0,0,0
i need to listen to a song where i can be angry and feel accepted at the same time,827,1,0,0,0,0,0,0,0,0,0,0,0
i know now makes me feel outraged,846,1,0,0,0,0,0,0,0,0,0,0,0
i cant abide the political mess the country is in though i feel equally enraged about the state of uk politics,849,1,0,0,0,0,0,0,0,0,0,0,0
i do feel angry,879,1,0,0,0,0,0,0,0,0,0,0,0
i feel that way makes me even more angry,1009,1,0,0,0,0,0,0,0,0,0,0,0
i remember as a child feeling totally scandalized and outraged when i found out that girls didnt play in the nfl,1059,1,0,0,0,0,0,0,0,0,0,0,0
i want to wimp out on feeling outraged,1064,1,0,0,0,0,0,0,0,0,0,0,0
i aint pissed angry mad or anything i just feel pretty much fuckin insulted,1086,1,0,0,0,0,0,0,0,0,0,0,0
i used to get the worthless feeling like i said previously my gear was going on ebay but now catch or not i m not bothered it is all about having a go i think a little more when fish are thin on the ground but not dejected or angry,1101,1,0,0,0,0,0,0,0,0,0,0,0
i can t even feel outraged by it,1103,1,0,0,0,0,0,0,0,0,0,0,0
i can see in myself a lot of the older son i m angry at god the father not giving me what i want even though i feel that i ve been pretty faithful to him though i ve screwed up plenty,1125,1,0,0,0,0,0,0,0,0,0,0,0
i was feeling pretty cranky about it but when i called the garage door guy this morning he said that his scheduler wasnt in because her husband had a massive heart attack over the weekend hes okay so he couldnt give me a time the repairman will call before he comes,1165,1,0,0,0,0,0,0,0,0,0,0,0
i am not even italian but i feel outraged by the stupidity of ppl on this blog,1167,1,0,0,0,0,0,0,0,0,0,0,0
i feel like my go to emotion is angry,1191,1,0,0,0,0,0,0,0,0,0,0,0
i get angry at myself when i feel bitter,1209,1,0,0,0,0,0,0,0,0,0,0,0
i get on new years eve but it makes me feel rebellious being underage and all,1301,1,0,0,0,0,0,0,0,0,0,0,0
i feel equally morally outraged regardless of whether its michigans or new yorks governor sleeping with prostitutes behind his wifes and daughters backs,1317,1,0,0,0,0,0,0,0,0,0,0,0
i feel as though sometimes i can be more clever than average,1330,1,0,0,0,0,0,0,0,0,0,0,0
i feel really petty at the moment because i am extremely angry because im broke at the moment and it sort of pisses me off,1400,1,0,0,0,0,0,0,0,0,0,0,0
i resent you as much as i do that i feel needlessly and unreasonably angry whenever you re around that the slightest idiosyncrasies of yours make me sick,1477,1,0,0,0,0,0,0,0,0,0,0,0
ive just spent the last half hour feeling ridiculously angry over insensitive comments from my partner but that all changed a few minutes ago to real pride over how much i have changed,1482,1,0,0,0,0,0,0,0,0,0,0,0
i kept feeling enraged that she was in too,1622,1,0,0,0,0,0,0,0,0,0,0,0
i feel like im so enraged,1702,1,0,0,0,0,0,0,0,0,0,0,0
i want to say how i want to feel just come out so bitter and angry,1783,1,0,0,0,0,0,0,0,0,0,0,0
i have every right to feel outraged that their legacy may be in danger,1832,1,0,0,0,0,0,0,0,0,0,0,0
i feel like drinkin drinkin angry someones gonna die whiskey and beer les paul a href http farm,1856,1,0,0,0,0,0,0,0,0,0,0,0
i know i probably shouldnt write with that sort of angry passion here on the blog but i never want to feel inhibited on what i can and cannot post,1865,1,0,0,0,0,0,0,0,0,0,0,0
