Descrption,Test_ID,Functionality_Test_Case,User_Interface_Test_Case,Performance_Test_Case,Integration_Test_Case,Usability_Test_Case,Database_Test_Case,Security_Test_Case,User_Acceptance_Test_Case
 All mandatory fields should be validated and indicated by an asterisk (*) symbol.,1,0,1,0,0,0,0,0,0
Validation error messages should be displayed properly in the correct position.,2,0,1,0,0,0,0,0,0
"All error messages should be displayed in the same CSS style (For Example, using red color)",3,0,1,0,0,0,0,0,0
"General confirmation messages should be displayed using CSS style other than error messages style (For Example, using green color)",4,0,1,0,0,0,0,0,0
Tooltips text should be meaningful.,5,0,1,0,0,1,0,0,0
Drop-down fields should have the first entry as blank or text like ‘Select’.,6,0,1,0,0,0,0,0,0
‘Delete functionality’ for any record on a page should ask for a confirmation.,7,0,1,0,0,1,0,0,1
Select/deselect all records option should be provided if page supports record add/delete/update functionality,8,0,1,0,0,0,0,0,0
Amount values should be displayed with correct currency symbols.,9,0,1,0,0,0,0,0,0
Default page sorting should be provided.,10,0,1,0,0,0,0,0,0
Reset button functionality should set default values for all fields.,11,0,1,0,0,0,0,0,0
All numeric values should be formatted properly.,12,0,1,0,0,0,0,0,0
Input values greater than the specified max limit should not be accepted or stored in the database.,13,1,1,0,0,0,1,0,0
Check all input fields for special characters.,14,0,1,0,0,0,0,0,0
field accepting user’s first name should be labeled properly as ‘First Name’.,15,0,1,0,0,0,0,0,0
Check page sorting functionality after add/edit/delete operations on any record.,16,0,1,0,0,0,0,0,0
Check application behavior after the operation timeout.,17,1,1,1,0,0,0,0,0
Check cookies used in an application.,18,1,1,0,0,0,0,1,0
Check if downloadable files are pointing to the correct file paths.,19,1,1,0,0,0,0,0,0
All resource keys should be configurable in config files or database instead of hard coding.,20,0,1,0,1,0,0,0,0
Standard conventions should be followed throughout for naming resource keys.,21,0,1,0,0,0,0,0,0
Validate markup for all web pages (validate HTML and CSS for syntax errors) to make sure it is compliant with the standards.,22,0,1,0,0,0,0,0,0
Application crash or unavailable pages should be redirected to the error page.,23,1,1,0,0,0,0,0,0
Check the text on all pages for spelling and grammatical errors.,24,0,1,0,0,0,0,0,0
A proper validation message should appear.,25,0,1,0,0,1,0,0,0
Check for negative numbers if allowed for numeric fields.,26,0,1,0,0,0,1,0,0
Check the number of fields with decimal number values.,27,0,1,0,0,0,0,0,0
Check the functionality of buttons available on all pages.,28,0,1,0,0,1,0,0,0
The user should not be able to submit a page twice by pressing the submit button in quick succession.,29,1,1,0,0,0,0,0,0
Divide by zero errors should be handled for any calculations.,30,1,1,0,0,0,0,0,0
Input data with the first and last position blank should be handled correctly.,31,0,1,0,0,1,0,0,0
"All fields on a page (For Example, text box, radio options, drop-down lists) should be aligned properly.",32,0,1,0,0,0,0,0,0
Numeric values should be justified correctly unless specified otherwise.,33,0,1,0,0,0,0,0,0
"Enough space should be provided between field labels, columns, rows, error messages, etc.",34,0,1,0,0,0,0,0,0
The scrollbar should be enabled only when necessary.,35,0,1,0,0,1,0,0,0
"Font size, style, and color for headline, description text, labels, infield data, and grid info should be standard as specified in SRS.",36,0,1,0,0,1,0,0,0
The description text box should be multi-lined.,37,0,1,0,0,0,0,0,0
Disabled fields should be greyed out and users should not be able to set focus on these fields.,38,0,1,0,0,0,0,0,0
"Upon click of an input text field, the mouse arrow pointer should get changed to the cursor.",39,0,1,0,0,1,0,0,0
