TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC_10,TC_11,TC_12,TC_13,TC_14,TC_15,TC_16,TC_17,TC_18,TC_19,TC_20,TC_21,TC_22,TC_23,TC_24,TC_25,TC_26,TC_27,TC_28,TC_29,TC_30,TC_31,TC_32,TC_33,TC_34,TC_35,TC_36,TC_37,TC_38,TC_39,TC_40,TC_41,TC_42,TC_43,TC_44,TC_45,TC_46,TC_47,TC_48,TC_49,TC_50,TC_51,TC_52,TC_53,TC_54,TC_55,TC_56,TC_57,TC_58,TC_59,TC_60,TC_61,TC_62,TC_63,TC_64,TC_65,TC_66,TC_67,TC_68,TC_69,TC_70
-0.032961305,-0.009019027,0.03914085,0.017632615,-0.005844246,-0.048031833,-0.029008461,0.008796792,-0.035524096,0.01542358,-0.032961305,-0.009019027,0.03914085,0.017632615,-0.005844246,-0.048031833,-0.029008461,0.008796792,-0.035524096,0.01542358,-0.032961305,-0.009019027,0.03914085,0.017632615,-0.005844246,-0.048031833,-0.029008461,0.008796792,-0.035524096,0.01542358,-0.032961305,-0.009019027,0.03914085,0.017632615,-0.005844246,-0.048031833,-0.029008461,0.008796792,-0.035524096,0.01542358,-0.032961305,-0.009019027,0.03914085,0.017632615,-0.005844246,-0.048031833,-0.029008461,0.008796792,-0.035524096,0.01542358,-0.032961305,-0.009019027,0.03914085,0.017632615,-0.005844246,-0.048031833,-0.029008461,0.008796792,-0.035524096,0.01542358,-0.032961305,-0.009019027,0.03914085,0.017632615,-0.005844246,-0.048031833,-0.029008461,0.008796792,-0.035524096,0.01542358
0.01568733,-0.018939119,-0.007647586,-0.011091344,-0.011479278,-0.014645841,-0.023023563,0.030133488,-0.005003734,0.049248606,0.01568733,-0.018939119,-0.007647586,-0.011091344,-0.011479278,-0.014645841,-0.023023563,0.030133488,-0.005003734,0.049248606,0.01568733,-0.018939119,-0.007647586,-0.011091344,-0.011479278,-0.014645841,-0.023023563,0.030133488,-0.005003734,0.049248606,0.01568733,-0.018939119,-0.007647586,-0.011091344,-0.011479278,-0.014645841,-0.023023563,0.030133488,-0.005003734,0.049248606,0.01568733,-0.018939119,-0.007647586,-0.011091344,-0.011479278,-0.014645841,-0.023023563,0.030133488,-0.005003734,0.049248606,0.01568733,-0.018939119,-0.007647586,-0.011091344,-0.011479278,-0.014645841,-0.023023563,0.030133488,-0.005003734,0.049248606,0.01568733,-0.018939119,-0.007647586,-0.011091344,-0.011479278,-0.014645841,-0.023023563,0.030133488,-0.005003734,0.049248606
0.023829345,0.000332762,-0.046762135,0.040024895,0.047344632,0.003252925,0.018475546,0.031331271,0.007127361,0.019235937,0.023829345,0.000332762,-0.046762135,0.040024895,0.047344632,0.003252925,0.018475546,0.031331271,0.007127361,0.019235937,0.023829345,0.000332762,-0.046762135,0.040024895,0.047344632,0.003252925,0.018475546,0.031331271,0.007127361,0.019235937,0.023829345,0.000332762,-0.046762135,0.040024895,0.047344632,0.003252925,0.018475546,0.031331271,0.007127361,0.019235937,0.023829345,0.000332762,-0.046762135,0.040024895,0.047344632,0.003252925,0.018475546,0.031331271,0.007127361,0.019235937,0.023829345,0.000332762,-0.046762135,0.040024895,0.047344632,0.003252925,0.018475546,0.031331271,0.007127361,0.019235937,0.023829345,0.000332762,-0.046762135,0.040024895,0.047344632,0.003252925,0.018475546,0.031331271,0.007127361,0.019235937
0.0079788,-0.047816418,-0.033259794,-0.009004841,0.022027375,0.039744414,-0.001717895,0.049106065,0.004669411,0.004723995,0.0079788,-0.047816418,-0.033259794,-0.009004841,0.022027375,0.039744414,-0.001717895,0.049106065,0.004669411,0.004723995,0.0079788,-0.047816418,-0.033259794,-0.009004841,0.022027375,0.039744414,-0.001717895,0.049106065,0.004669411,0.004723995,0.0079788,-0.047816418,-0.033259794,-0.009004841,0.022027375,0.039744414,-0.001717895,0.049106065,0.004669411,0.004723995,0.0079788,-0.047816418,-0.033259794,-0.009004841,0.022027375,0.039744414,-0.001717895,0.049106065,0.004669411,0.004723995,0.0079788,-0.047816418,-0.033259794,-0.009004841,0.022027375,0.039744414,-0.001717895,0.049106065,0.004669411,0.004723995,0.0079788,-0.047816418,-0.033259794,-0.009004841,0.022027375,0.039744414,-0.001717895,0.049106065,0.004669411,0.004723995
0.049141441,0.020121308,-0.031954702,0.009451639,-0.03100623,0.032808423,0.030689517,-0.001446149,0.014336381,-0.049198203,0.049141441,0.020121308,-0.031954702,0.009451639,-0.03100623,0.032808423,0.030689517,-0.001446149,0.014336381,-0.049198203,0.049141441,0.020121308,-0.031954702,0.009451639,-0.03100623,0.032808423,0.030689517,-0.001446149,0.014336381,-0.049198203,0.049141441,0.020121308,-0.031954702,0.009451639,-0.03100623,0.032808423,0.030689517,-0.001446149,0.014336381,-0.049198203,0.049141441,0.020121308,-0.031954702,0.009451639,-0.03100623,0.032808423,0.030689517,-0.001446149,0.014336381,-0.049198203,0.049141441,0.020121308,-0.031954702,0.009451639,-0.03100623,0.032808423,0.030689517,-0.001446149,0.014336381,-0.049198203,0.049141441,0.020121308,-0.031954702,0.009451639,-0.03100623,0.032808423,0.030689517,-0.001446149,0.014336381,-0.049198203
-0.000533406,-0.007603632,-0.026459396,-0.038847309,-0.04774477,0.037648782,-0.037386019,-0.039248191,0.009463371,-0.044338748,-0.000533406,-0.007603632,-0.026459396,-0.038847309,-0.04774477,0.037648782,-0.037386019,-0.039248191,0.009463371,-0.044338748,-0.000533406,-0.007603632,-0.026459396,-0.038847309,-0.04774477,0.037648782,-0.037386019,-0.039248191,0.009463371,-0.044338748,-0.000533406,-0.007603632,-0.026459396,-0.038847309,-0.04774477,0.037648782,-0.037386019,-0.039248191,0.009463371,-0.044338748,-0.000533406,-0.007603632,-0.026459396,-0.038847309,-0.04774477,0.037648782,-0.037386019,-0.039248191,0.009463371,-0.044338748,-0.000533406,-0.007603632,-0.026459396,-0.038847309,-0.04774477,0.037648782,-0.037386019,-0.039248191,0.009463371,-0.044338748,-0.000533406,-0.007603632,-0.026459396,-0.038847309,-0.04774477,0.037648782,-0.037386019,-0.039248191,0.009463371,-0.044338748
-0.023261357,-0.00537062,0.04628481,-0.04055918,0.019545412,-0.000841378,0.030325167,-0.048255544,0.042881586,-0.027615299,-0.023261357,-0.00537062,0.04628481,-0.04055918,0.019545412,-0.000841378,0.030325167,-0.048255544,0.042881586,-0.027615299,-0.023261357,-0.00537062,0.04628481,-0.04055918,0.019545412,-0.000841378,0.030325167,-0.048255544,0.042881586,-0.027615299,-0.023261357,-0.00537062,0.04628481,-0.04055918,0.019545412,-0.000841378,0.030325167,-0.048255544,0.042881586,-0.027615299,-0.023261357,-0.00537062,0.04628481,-0.04055918,0.019545412,-0.000841378,0.030325167,-0.048255544,0.042881586,-0.027615299,-0.023261357,-0.00537062,0.04628481,-0.04055918,0.019545412,-0.000841378,0.030325167,-0.048255544,0.042881586,-0.027615299,-0.023261357,-0.00537062,0.04628481,-0.04055918,0.019545412,-0.000841378,0.030325167,-0.048255544,0.042881586,-0.027615299
0.006552663,-0.029512379,0.033681042,0.016003873,0.007253932,-0.024027832,-0.02646984,0.022907756,-0.04525502,0.043910757,0.006552663,-0.029512379,0.033681042,0.016003873,0.007253932,-0.024027832,-0.02646984,0.022907756,-0.04525502,0.043910757,0.006552663,-0.029512379,0.033681042,0.016003873,0.007253932,-0.024027832,-0.02646984,0.022907756,-0.04525502,0.043910757,0.006552663,-0.029512379,0.033681042,0.016003873,0.007253932,-0.024027832,-0.02646984,0.022907756,-0.04525502,0.043910757,0.006552663,-0.029512379,0.033681042,0.016003873,0.007253932,-0.024027832,-0.02646984,0.022907756,-0.04525502,0.043910757,0.006552663,-0.029512379,0.033681042,0.016003873,0.007253932,-0.024027832,-0.02646984,0.022907756,-0.04525502,0.043910757,0.006552663,-0.029512379,0.033681042,0.016003873,0.007253932,-0.024027832,-0.02646984,0.022907756,-0.04525502,0.043910757
-0.047557358,-0.02344499,0.026999893,0.023924349,0.00356494,0.035618335,-0.009628945,-0.009760382,-0.015335535,0.027489733,-0.047557358,-0.02344499,0.026999893,0.023924349,0.00356494,0.035618335,-0.009628945,-0.009760382,-0.015335535,0.027489733,-0.047557358,-0.02344499,0.026999893,0.023924349,0.00356494,0.035618335,-0.009628945,-0.009760382,-0.015335535,0.027489733,-0.047557358,-0.02344499,0.026999893,0.023924349,0.00356494,0.035618335,-0.009628945,-0.009760382,-0.015335535,0.027489733,-0.047557358,-0.02344499,0.026999893,0.023924349,0.00356494,0.035618335,-0.009628945,-0.009760382,-0.015335535,0.027489733,-0.047557358,-0.02344499,0.026999893,0.023924349,0.00356494,0.035618335,-0.009628945,-0.009760382,-0.015335535,0.027489733,-0.047557358,-0.02344499,0.026999893,0.023924349,0.00356494,0.035618335,-0.009628945,-0.009760382,-0.015335535,0.027489733
0.029117161,0.031803638,-0.038275547,-0.010573964,-0.036656719,-0.010706201,-0.010793196,-0.02108416,-0.010417435,-0.025661679,0.029117161,0.031803638,-0.038275547,-0.010573964,-0.036656719,-0.010706201,-0.010793196,-0.02108416,-0.010417435,-0.025661679,0.029117161,0.031803638,-0.038275547,-0.010573964,-0.036656719,-0.010706201,-0.010793196,-0.02108416,-0.010417435,-0.025661679,0.029117161,0.031803638,-0.038275547,-0.010573964,-0.036656719,-0.010706201,-0.010793196,-0.02108416,-0.010417435,-0.025661679,0.029117161,0.031803638,-0.038275547,-0.010573964,-0.036656719,-0.010706201,-0.010793196,-0.02108416,-0.010417435,-0.025661679,0.029117161,0.031803638,-0.038275547,-0.010573964,-0.036656719,-0.010706201,-0.010793196,-0.02108416,-0.010417435,-0.025661679,0.029117161,0.031803638,-0.038275547,-0.010573964,-0.036656719,-0.010706201,-0.010793196,-0.02108416,-0.010417435,-0.025661679
